Version,1.2
Date,15-07-13
Time,10h10
Force Threshold, Label2, pia, 0.12
Force Threshold, Label1, vessel, 0.08
Force Threshold, Label3, target, 3.40282e+038
Force Threshold, Label4, grey matter, 0.08
Force Threshold, Label5, white matter, 3.40282e+038
Number of materials,5
Number of targets,0
Time(s), InstrumentLeftHand,LeftSwitch, LeftKnob,  ForceFeedbackLeftHand, CumTimeLeftForceOverThreshold_label2_pia, CumTimeLeftForceOverThreshold_label1_vessel, CumTimeLeftForceOverThreshold_label3_target, CumTimeLeftForceOverThreshold_label4_grey matter, CumTimeLeftForceOverThreshold_label5_white matter, Label2_pia_TouchedByLeft, Label1_vessel_TouchedByLeft, Label3_target_TouchedByLeft, Label4_grey matter_TouchedByLeft, Label5_white matter_TouchedByLeft, TranslationLeft_x,TranslationLeft_y,TranslationLeft_z, quatLeft_x,quatLeft_y,quatLeft_z , quatLeft_w, InstrumentRightHand, RightSwitch, RightKnob, ForceFeedbackRightHand, CumTimeRightForceOverThreshold_label2_pia, CumTimeRightForceOverThreshold_label1_vessel, CumTimeRightForceOverThreshold_label3_target, CumTimeRightForceOverThreshold_label4_grey matter, CumTimeRightForceOverThreshold_label5_white matter, Label2_pia_TouchedByRight, Label1_vessel_TouchedByRight, Label3_target_TouchedByRight, Label4_grey matter_TouchedByRight, Label5_white matter_TouchedByRight, TranslationRight_x,TranslationRight_y,TranslationRight_z, quatRight_x,quatRight_y,quatRight_z,quatRight_w,BloodEmittedFrame,BloodCurrentFrame, TotalBloodEmitted, TotalWhiteFibreCut, TotalArteriesFibreCut, TotalVeinsFibreCut, TotalTargetFibreCut, Volume_ofLabel2_pia, Volume_ofLabel1_vessel, Volume_ofLabel3_target, Volume_ofLabel4_grey matter, Volume_ofLabel5_white matter 
0.0199805 , Bipolar , 0 , 0.710655 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.44525 , -1.44103 , 38.6578 , 0.236176 , 0.233842 , 0.0342779 , 0.942531 , CUSA , 0 , 0.678397 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3.1129 , -2.87675 , 45.4573 , -0.0771102 , 0.369836 , 0.265152 , 0.887113 , 0 , 0 , 0 ,  -1 ,  -1 ,  -1 ,  -1 ,  0.189124 , 0.504354 , 0.361396 , 2.93755 , 13.1056 , 
0.0399587 , Bipolar , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.53097 , -1.35061 , 38.0741 , 0.235226 , 0.232836 , 0.0337553 , 0.943036 , CUSA , 0 , 0.679374 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3.11564 , -2.90316 , 45.3984 , -0.0771788 , 0.369852 , 0.264831 , 0.887196 , 0 , 0 , 0 ,  -1 ,  -1 ,  -1 ,  -1 ,  0.189124 , 0.504354 , 0.361396 , 2.93755 , 13.1056 , 
0.0599749 , Bipolar , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.74659 , -1.254 , 37.5895 , 0.234253 , 0.23165 , 0.0330836 , 0.943594 , CUSA , 0 , 0.678397 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3.09429 , -2.90723 , 45.3153 , -0.0770283 , 0.369948 , 0.264929 , 0.88714 , 0 , 0 , 0 ,  -1 ,  -1 ,  -1 ,  -1 ,  0.189124 , 0.504354 , 0.361396 , 2.93755 , 13.1056 , 
0.0799691 , Bipolar , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.90232 , -1.12838 , 37.2719 , 0.233475 , 0.231609 , 0.0325732 , 0.943814 , CUSA , 0 , 0.678397 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3.06222 , -2.80845 , 45.1175 , -0.0758945 , 0.369449 , 0.265133 , 0.887385 , 0 , 0 , 0 ,  -1 ,  -1 ,  -1 ,  -1 ,  0.189124 , 0.504354 , 0.361396 , 2.93755 , 13.1056 , 
0.100108 , Bipolar , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.03057 , -0.890606 , 36.9983 , 0.233707 , 0.230856 , 0.032256 , 0.943953 , CUSA , 0 , 0.678397 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.99902 , -2.69899 , 44.8674 , -0.0748278 , 0.369247 , 0.265445 , 0.887466 , 0 , 0 , 0 ,  -1 ,  -1 ,  -1 ,  -1 ,  0.189124 , 0.504354 , 0.361396 , 2.93755 , 13.1056 , 
0.119982 , Bipolar , 0 , 0.710655 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.00498 , -0.692013 , 36.6953 , 0.23375 , 0.23108 , 0.0321484 , 0.943891 , CUSA , 0 , 0.679374 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.91442 , -2.56541 , 44.6524 , -0.0739505 , 0.369231 , 0.265745 , 0.887456 , 0 , 0 , 0 ,  -1 ,  -1 ,  -1 ,  -1 ,  0.189124 , 0.504354 , 0.361396 , 2.93755 , 13.1056 , 
0.13998 , Bipolar , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.96179 , -0.518796 , 36.3202 , 0.233407 , 0.230969 , 0.0319004 , 0.944011 , CUSA , 0 , 0.678397 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.83373 , -2.46731 , 44.4664 , -0.0733407 , 0.369376 , 0.266013 , 0.887366 , 0 , 0 , 0 ,  -1 ,  -1 ,  -1 ,  -1 ,  0.189124 , 0.504354 , 0.361396 , 2.93755 , 13.1056 , 
0.159962 , Bipolar , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.97349 , -0.413599 , 35.9322 , 0.232795 , 0.230301 , 0.0315105 , 0.944338 , CUSA , 0 , 0.678397 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.83637 , -2.46295 , 44.2658 , -0.0737251 , 0.368904 , 0.266656 , 0.887338 , 0 , 0 , 0 ,  -1 ,  -1 ,  -1 ,  -1 ,  0.189124 , 0.504354 , 0.361396 , 2.93755 , 13.1056 , 
0.179971 , Bipolar , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.99285 , -0.361932 , 35.6451 , 0.231872 , 0.230165 , 0.0301969 , 0.944641 , CUSA , 0 , 0.678397 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.84296 , -2.38204 , 44.049 , -0.0737663 , 0.368062 , 0.26619 , 0.887824 , 0 , 0 , 0 ,  -1 ,  -1 ,  -1 ,  -1 ,  0.189124 , 0.504354 , 0.361396 , 2.93755 , 13.1056 , 
0.199987 , Bipolar , 0 , 0.711632 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.9445 , -0.334063 , 35.4766 , 0.230968 , 0.230598 , 0.029489 , 0.94478 , CUSA , 0 , 0.678397 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.84775 , -2.26928 , 43.845 , -0.0734572 , 0.367413 , 0.265926 , 0.888197 , 0 , 0 , 0 ,  -1 ,  -1 ,  -1 ,  -1 ,  0.189124 , 0.504354 , 0.361396 , 2.93755 , 13.1056 , 
